,Bookmaker,Sharp Book Price,Sporttrade,Bet365,DraftKings Pick6,FanDuel,DraftKings,BetMGM,Caesars,PointsBet,BetOnline,Bovada,Unibet,Sugarhouse,888sports,BetRivers,SportsBetting,Four Winds,Parx,Over,Under
2/15 8:30 PM Jaren Jackson(F-C) MEM vs. MIL,  ,  ,  ,  ,  ,"o1.5 -178
u1.5 +138","o1.5 -150
u1.5 +120",  ,"o1.5 -143
u1.5 +104",  ,  ,  ,"o1.5 -180
u1.5 +135","o1.5 -180
u1.5 +135",  ,"o1.5 -180
u1.5 +135",  ,"o1.5 -180
u1.5 +135","o1.5 -180
u1.5 +135",{1.5: -171.4},{1.5: 129.6}
2/15 8:30 PM Luke Kennard(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,"o2.5 -166
u2.5 +130",  ,  ,  ,  ,"o2.5 -167
u2.5 +128","o2.5 -167
u2.5 +128","o2.5 -177
u2.5 +132","o2.5 -177
u2.5 +132",  ,"o2.5 -177
u2.5 +132","o2.5 -167
u2.5 +128","o2.5 -177
u2.5 +132","o2.5 -177
u2.5 +132",{2.5: -172.4},{2.5: 130.4}
2/15 8:30 PM Damian Lillard(G) MIL @ MEM,  ,  ,  ,"o2.5 -170
u2.5 +140",  ,"o2.5 -156
u2.5 +122","o2.5 -175
u2.5 +135",  ,"o2.5 -179
u2.5 +129","o2.5 -175
u2.5 +135","o2.5 -172
u2.5 +131","o2.5 -172
u2.5 +131","o2.5 -159
u2.5 +120","o2.5 -159
u2.5 +120","o2.5 -188
u2.5 +125","o2.5 -159
u2.5 +120","o2.5 -172
u2.5 +131","o2.5 -159
u2.5 +120","o2.5 -159
u2.5 +120",{2.5: -168.1},{2.5: 127.1}
2/15 8:30 PM Malik Beasley(G) MIL @ MEM,  ,  ,  ,"o2.5 -160
u2.5 +130",  ,"o2.5 -156
u2.5 +122","o2.5 -166
u2.5 +130",  ,"o2.5 -164
u2.5 +118","o2.5 -170
u2.5 +130","o2.5 -167
u2.5 +128","o2.5 -167
u2.5 +128","o2.5 -159
u2.5 +118","o2.5 -159
u2.5 +118","o2.5 -175
u2.5 +120","o2.5 -159
u2.5 +118","o2.5 -167
u2.5 +128","o2.5 -159
u2.5 +118","o2.5 -159
u2.5 +118",{2.5: -163.4},{2.5: 123.1}
2/15 8:30 PM Giannis Antetokounmpo MIL @ MEM,  ,  ,  ,"o0.5 +140
u0.5 -170",  ,  ,"o0.5 +135
u0.5 -175",  ,"o0.5 +136
u0.5 -189","o0.5 +125
u0.5 -165","o0.5 +136
u0.5 -179","o0.5 +136
u0.5 -179",  ,  ,"o0.5 +125
u0.5 -200",  ,"o0.5 +136
u0.5 -179",  ,  ,{},{}
2/15 8:30 PM Brook Lopez(C) MIL @ MEM,  ,  ,  ,"o1.5 -160
u1.5 +130",  ,"o1.5 -150
u1.5 +118","o1.5 -160
u1.5 +124",  ,"o1.5 -169
u1.5 +123","o1.5 -160
u1.5 +120","o1.5 -161
u1.5 +123","o1.5 -161
u1.5 +123","o1.5 -157
u1.5 +117","o1.5 -157
u1.5 +117","o1.5 -175
u1.5 +115","o1.5 -157
u1.5 +117","o1.5 -161
u1.5 +123","o1.5 -157
u1.5 +117","o1.5 -157
u1.5 +117",{1.5: -160.1},{1.5: 120.3}
2/15 8:30 PM Santi Aldama(F) MEM vs. MIL,  ,  ,  ,  ,  ,"o1.5 -188
u1.5 +146",  ,  ,  ,  ,"o1.5 -192
u1.5 +146","o1.5 -192
u1.5 +146","o1.5 -195
u1.5 +145","o1.5 -195
u1.5 +145",  ,"o1.5 -195
u1.5 +145","o1.5 -192
u1.5 +146","o1.5 -195
u1.5 +145","o1.5 -195
u1.5 +145",{1.5: -193.2},{1.5: 145.4}
2/15 8:30 PM Vince Williams(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,"o1.5 -106
u1.5 -120","o1.5 +100
u1.5 -130",  ,"o1.5 -101
u1.5 -135",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{1.5: -103.5},{1.5: -127.5}
2/15 9:00 PM Klay Thompson(G) GSW @ UTA,  ,  ,  ,"o2.5 -170
u2.5 +140",  ,"o2.5 -186
u2.5 +144","o2.5 -175
u2.5 +135",  ,"o2.5 -175
u2.5 +126","o2.5 -170
u2.5 +130","o2.5 -179
u2.5 +136","o2.5 -179
u2.5 +136",  ,  ,"o2.5 -188
u2.5 +125",  ,"o2.5 -179
u2.5 +136",  ,  ,{2.5: -177.9},{2.5: 134.2}
2/15 9:00 PM Draymond Green(F) GSW @ UTA,  ,  ,  ,"o0.5 -135
u0.5 +105",  ,"o0.5 -122
u0.5 -104","o0.5 -110
u0.5 -120",  ,"o0.5 -111
u0.5 -123","o0.5 -110
u0.5 -120","o0.5 -118
u0.5 -110","o0.5 -118
u0.5 -110",  ,  ,"o0.5 -118
u0.5 -125",  ,"o0.5 -118
u0.5 -110",  ,  ,{0.5: -117.8},{0.5: -90.8}
