,Bookmaker,Sharp Book Price,Sporttrade,Bet365,DraftKings Pick6,FanDuel,DraftKings,BetMGM,Caesars,PointsBet,BetOnline,Bovada,Unibet,Sugarhouse,888sports,BetRivers,SportsBetting,Four Winds,Parx,Over,Under
2/15 8:30 PM Jaren Jackson(F-C) MEM vs. MIL,  ,  ,  ,  ,  ,"o2.5 -140
u2.5 +110","o2.5 -140
u2.5 +110",  ,"o2.5 -125
u2.5 -109",  ,  ,  ,"o2.5 -148
u2.5 +112","o2.5 -148
u2.5 +112",  ,"o2.5 -148
u2.5 +112",  ,"o2.5 -148
u2.5 +112","o2.5 -148
u2.5 +112",{2.5: -143.1},{2.5: 83.9}
2/15 8:30 PM Luke Kennard(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,"o2.5 -166
u2.5 +130",  ,  ,  ,  ,"o2.5 -167
u2.5 +128","o2.5 -167
u2.5 +128","o2.5 -177
u2.5 +132","o2.5 -177
u2.5 +132",  ,"o2.5 -177
u2.5 +132","o2.5 -167
u2.5 +128","o2.5 -177
u2.5 +132","o2.5 -177
u2.5 +132",{2.5: -172.4},{2.5: 130.4}
2/15 8:30 PM Damian Lillard(G) MIL @ MEM,  ,  ,  ,"o6.5 +115
u6.5 -145",  ,"o6.5 +114
u6.5 -146","o6.5 +114
u6.5 -145","o6.5 +110
u6.5 -149","o6.5 +106
u6.5 -145","o6.5 +115
u6.5 -150","o6.5 +115
u6.5 -149","o6.5 +115
u6.5 -149","o6.5 +118
u6.5 -157","o6.5 +118
u6.5 -157","o6.5 +105
u6.5 -158","o6.5 +118
u6.5 -157","o6.5 +115
u6.5 -149","o6.5 +118
u6.5 -157","o6.5 +118
u6.5 -157",{},{}
2/15 8:30 PM Malik Beasley(G) MIL @ MEM,  ,  ,  ,"o1.5 +160
u1.5 -200",  ,  ,  ,"o1.5 +150
u1.5 -208","o1.5 +139
u1.5 -192",  ,  ,  ,  ,  ,"o1.5 +140
u1.5 -222",  ,  ,  ,  ,{},{}
2/15 8:30 PM Giannis Antetokounmpo MIL @ MEM,  ,  ,  ,"o6.5 -125
u6.5 -105",  ,"o6.5 -130
u6.5 +102","o6.5 -145
u6.5 +114","o6.5 -128
u6.5 -105","o6.5 -125
u6.5 -109","o6.5 -150
u6.5 +115","o6.5 -132
u6.5 +102","o6.5 -132
u6.5 +102","o6.5 -112
u6.5 -120","o6.5 -112
u6.5 -120","o6.5 -137
u6.5 -110","o6.5 -112
u6.5 -120","o6.5 -132
u6.5 +102","o6.5 -112
u6.5 -120","o6.5 -112
u6.5 -120",{6.5: -126.4},{6.5: -26.1}
2/15 8:30 PM Brook Lopez(C) MIL @ MEM,  ,  ,  ,"o1.5 -130
u1.5 +100",  ,  ,  ,"o1.5 -133
u1.5 +100","o1.5 -127
u1.5 -108",  ,  ,  ,  ,  ,"o1.5 -141
u1.5 -105",  ,  ,  ,  ,{1.5: -132.8},{1.5: -3.2}
2/15 8:30 PM Santi Aldama(F) MEM vs. MIL,  ,  ,  ,  ,  ,"o2.5 -148
u2.5 +116",  ,  ,  ,  ,"o2.5 -154
u2.5 +118","o2.5 -154
u2.5 +118","o2.5 -143
u2.5 +108","o2.5 -143
u2.5 +108",  ,"o2.5 -143
u2.5 +108","o2.5 -154
u2.5 +118","o2.5 -143
u2.5 +108","o2.5 -143
u2.5 +108",{2.5: -147.2},{2.5: 112.2}
2/15 8:30 PM Vince Williams(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,"o5.5 +118
u5.5 -150","o4.5 -160
u4.5 +124",  ,"o4.5 -161
u4.5 +116",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{4.5: -160.5},{4.5: 120.0}
2/15 9:00 PM Klay Thompson(G) GSW @ UTA,  ,  ,  ,"o2.5 +140
u2.5 -170",  ,  ,"o2.5 +135
u2.5 -175","o2.5 +135
u2.5 -182","o2.5 +139
u2.5 -192","o2.5 +140
u2.5 -180","o2.5 +134
u2.5 -175","o2.5 +134
u2.5 -175",  ,  ,"o2.5 +125
u2.5 -188",  ,"o2.5 +134
u2.5 -175",  ,  ,{},{}
2/15 9:00 PM Draymond Green(F) GSW @ UTA,  ,  ,  ,"o6.5 -135
u6.5 +105",  ,"o7.5 +106
u7.5 -136","o6.5 -140
u6.5 +110","o6.5 -143
u6.5 +105","o6.5 -143
u6.5 +104","o6.5 -145
u6.5 +110","o6.5 -141
u6.5 +108","o6.5 -141
u6.5 +108",  ,  ,"o6.5 -150
u6.5 +100",  ,"o6.5 -141
u6.5 +108",  ,  ,{6.5: -142.1},{6.5: 106.4}
