,Bookmaker,Sharp Book Price,Sporttrade,Bet365,DraftKings Pick6,FanDuel,DraftKings,BetMGM,Caesars,PointsBet,BetOnline,Bovada,Unibet,Sugarhouse,888sports,BetRivers,SportsBetting,Four Winds,Parx,Over,Under
2/15 8:30 PM Jaren Jackson(F-C) MEM vs. MIL,  ,  ,  ,  ,  ,  ,  ,  ,"o0.5 -200
u0.5 +143",  ,  ,  ,"o0.5 -210
u0.5 +155","o0.5 -210
u0.5 +155",  ,"o0.5 -210
u0.5 +155",  ,"o0.5 -210
u0.5 +155","o0.5 -210
u0.5 +155",{0.5: -208.3},{0.5: 153.0}
2/15 8:30 PM Luke Kennard(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,"o2.5 -166
u2.5 +130",  ,  ,  ,  ,"o2.5 -167
u2.5 +128","o2.5 -167
u2.5 +128","o2.5 -177
u2.5 +132","o2.5 -177
u2.5 +132",  ,"o2.5 -177
u2.5 +132","o2.5 -167
u2.5 +128","o2.5 -177
u2.5 +132","o2.5 -177
u2.5 +132",{2.5: -172.4},{2.5: 130.4}
2/15 8:30 PM Damian Lillard(G) MIL @ MEM,  ,  ,  ,"o0.5 +230
u0.5 -310",  ,  ,  ,"o0.5 +225
u0.5 -333","o0.5 +219
u0.5 -323","o0.5 +220
u0.5 -300",  ,  ,  ,  ,  ,  ,  ,  ,  ,{},{}
2/15 8:30 PM Malik Beasley(G) MIL @ MEM,  ,  ,  ,"o0.5 +375
u0.5 -550",  ,  ,  ,"o0.5 +350
u0.5 -556","o0.5 +323
u0.5 -526","o0.5 +330
u0.5 -500",  ,  ,  ,  ,  ,  ,  ,  ,  ,{},{}
2/15 8:30 PM Giannis Antetokounmpo MIL @ MEM,  ,  ,  ,"o0.5 -225
u0.5 +175",  ,  ,  ,"o0.5 -227
u0.5 +170","o0.5 -233
u0.5 +165","o0.5 -225
u0.5 +165",  ,  ,"o0.5 -230
u0.5 +165","o0.5 -230
u0.5 +165","o0.5 -250
u0.5 +160","o0.5 -230
u0.5 +165",  ,"o0.5 -230
u0.5 +165","o0.5 -230
u0.5 +165",{0.5: -231.0},{0.5: 166.0}
2/15 8:30 PM Brook Lopez(C) MIL @ MEM,  ,  ,  ,"o2.5 +155
u2.5 -190",  ,  ,  ,"o2.5 +145
u2.5 -200","o2.5 +143
u2.5 -200","o2.5 +145
u2.5 -190",  ,  ,"o1.5 -205
u1.5 +150","o1.5 -205
u1.5 +150","o2.5 +140
u2.5 -213","o1.5 -205
u1.5 +150",  ,"o1.5 -205
u1.5 +150","o1.5 -205
u1.5 +150",{1.5: -205.0},{1.5: 150.0}
2/15 8:30 PM Santi Aldama(F) MEM vs. MIL,  ,  ,  ,  ,  ,"o2.5 -148
u2.5 +116",  ,  ,  ,  ,"o2.5 -154
u2.5 +118","o2.5 -154
u2.5 +118","o2.5 -143
u2.5 +108","o2.5 -143
u2.5 +108",  ,"o2.5 -143
u2.5 +108","o2.5 -154
u2.5 +118","o2.5 -143
u2.5 +108","o2.5 -143
u2.5 +108",{2.5: -147.2},{2.5: 112.2}
2/15 8:30 PM Vince Williams(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,  ,  ,"o0.5 +175
u0.5 -238","o0.5 +172
u0.5 -244",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{},{}
2/15 9:00 PM Klay Thompson(G) GSW @ UTA,  ,  ,  ,"o0.5 -115
u0.5 -115",  ,"o0.5 +104
u0.5 -132",  ,"o0.5 -115
u0.5 -118","o0.5 -111
u0.5 -123","o0.5 -115
u0.5 -115",  ,  ,  ,  ,  ,  ,  ,  ,  ,{0.5: -114.0},{0.5: -117.8}
2/15 9:00 PM Draymond Green(F) GSW @ UTA,  ,  ,  ,"o1.5 +145
u1.5 -180",  ,"o1.5 +154
u1.5 -200",  ,"o1.5 +140
u1.5 -189","o1.5 +139
u1.5 -192","o1.5 +130
u1.5 -170",  ,  ,  ,  ,"o1.5 +130
u1.5 -200",  ,  ,  ,  ,{},{}
