,Bookmaker,Sharp Book Price,Sporttrade,Bet365,DraftKings Pick6,FanDuel,DraftKings,BetMGM,Caesars,PointsBet,BetOnline,Bovada,Unibet,Sugarhouse,888sports,BetRivers,SportsBetting,Four Winds,Parx,Over,Under
2/15 8:30 PM Jaren Jackson(F-C) MEM vs. MIL,  ,  ,  ,  ,  ,"o23.5 -115
u23.5 -111","o22.5 -130
u22.5 +100",  ,"o22.5 -114
u22.5 -120",  ,  ,  ,"o23.5 -110
u23.5 -121","o23.5 -110
u23.5 -121",  ,"o23.5 -110
u23.5 -121",  ,"o23.5 -110
u23.5 -121","o23.5 -110
u23.5 -121","{23.5: -110.8, 22.5: -122.0}","{23.5: -119.3, 22.5: -10.0}"
2/15 8:30 PM Luke Kennard(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,"o12.5 -120
u12.5 -106",  ,  ,  ,  ,"o12.5 -120
u12.5 -108","o12.5 -120
u12.5 -108","o12.5 -132
u12.5 +100","o12.5 -132
u12.5 +100",  ,"o12.5 -132
u12.5 +100","o12.5 -120
u12.5 -108","o12.5 -132
u12.5 +100","o12.5 -132
u12.5 +100",{12.5: -126.7},{12.5: 7.8}
2/15 8:30 PM Damian Lillard(G) MIL @ MEM,  ,  ,  ,"o24.5 -115
u24.5 -115",  ,"o23.5 -125
u23.5 -102","o24.5 -110
u24.5 -120","o24.5 -111
u24.5 -120","o24.5 -114
u24.5 -120","o24.5 -110
u24.5 -120","o24.5 -110
u24.5 -118","o24.5 -110
u24.5 -118","o23.5 -120
u23.5 -112","o23.5 -120
u23.5 -112","o24.5 -118
u24.5 -125","o23.5 -120
u23.5 -112","o24.5 -110
u24.5 -118","o23.5 -120
u23.5 -112","o23.5 -120
u23.5 -112","{24.5: -112.0, 23.5: -120.8}","{24.5: -119.3, 23.5: -110.3}"
2/15 8:30 PM Malik Beasley(G) MIL @ MEM,  ,  ,  ,"o11.5 -125
u11.5 -105",  ,"o11.5 -111
u11.5 -115","o11.5 -125
u11.5 -105","o11.5 -128
u11.5 -105","o11.5 -123
u11.5 -111","o11.5 -120
u11.5 -110","o11.5 -118
u11.5 -110","o11.5 -118
u11.5 -110","o11.5 -113
u11.5 -118","o11.5 -113
u11.5 -118","o11.5 -133
u11.5 -110","o11.5 -113
u11.5 -118","o11.5 -118
u11.5 -110","o11.5 -113
u11.5 -118","o11.5 -113
u11.5 -118",{11.5: -118.9},{11.5: -112.1}
2/15 8:30 PM Giannis Antetokounmpo MIL @ MEM,  ,  ,  ,"o30.5 -110
u30.5 -120",  ,"o29.5 -113
u29.5 -115","o30.5 -110
u30.5 -120","o30.5 -105
u30.5 -125","o30.5 -109
u30.5 -125","o30.5 -110
u30.5 -120","o30.5 -106
u30.5 -122","o30.5 -106
u30.5 -122","o29.5 -117
u29.5 -114","o29.5 -117
u29.5 -114","o30.5 -118
u30.5 -133","o29.5 -117
u29.5 -114","o30.5 -106
u30.5 -122","o29.5 -117
u29.5 -114","o29.5 -117
u29.5 -114","{30.5: -108.9, 29.5: -116.3}","{30.5: -123.2, 29.5: -114.2}"
2/15 8:30 PM Brook Lopez(C) MIL @ MEM,  ,  ,  ,"o11.5 -105
u11.5 -125",  ,"o11.5 -104
u11.5 -122","o11.5 -105
u11.5 -125","o11.5 -105
u11.5 -128","o11.5 -120
u11.5 -114","o11.5 -110
u11.5 -120","o11.5 -102
u11.5 -127","o11.5 -102
u11.5 -127","o11.5 -107
u11.5 -125","o11.5 -107
u11.5 -125","o11.5 -110
u11.5 -137","o11.5 -107
u11.5 -125","o11.5 -102
u11.5 -127","o11.5 -107
u11.5 -125","o11.5 -107
u11.5 -125",{11.5: -106.7},{11.5: -125.1}
2/15 8:30 PM Santi Aldama(F) MEM vs. MIL,  ,  ,  ,  ,  ,"o11.5 -108
u11.5 -118",  ,  ,  ,  ,"o11.5 -109
u11.5 -119","o11.5 -109
u11.5 -119","o11.5 -108
u11.5 -124","o11.5 -108
u11.5 -124",  ,"o11.5 -108
u11.5 -124","o11.5 -109
u11.5 -119","o11.5 -108
u11.5 -124","o11.5 -108
u11.5 -124",{11.5: -108.3},{11.5: -121.7}
2/15 8:30 PM Vince Williams(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,"o12.5 -106
u12.5 -120","o11.5 -140
u11.5 +110",  ,"o11.5 -128
u11.5 -106",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"{12.5: -106.0, 11.5: -134.0}","{12.5: -120.0, 11.5: 2.0}"
2/15 9:00 PM Klay Thompson(G) GSW @ UTA,  ,  ,  ,"o16.5 -115
u16.5 -115",  ,"o16.5 -118
u16.5 -108","o16.5 -110
u16.5 -120",  ,"o16.5 -114
u16.5 -120","o16.5 -110
u16.5 -120","o16.5 -112
u16.5 -115","o16.5 -112
u16.5 -115",  ,  ,"o16.5 -118
u16.5 -133",  ,"o16.5 -112
u16.5 -115",  ,  ,{16.5: -113.4},{16.5: -117.9}
2/15 9:00 PM Draymond Green(F) GSW @ UTA,  ,  ,  ,"o8.5 -115
u8.5 -115",  ,"o8.5 -104
u8.5 -122","o8.5 -115
u8.5 -115","o8.5 -118
u8.5 -115","o8.5 -114
u8.5 -120","o8.5 -115
u8.5 -115","o8.5 -110
u8.5 -118","o8.5 -110
u8.5 -118",  ,  ,  ,  ,"o8.5 -110
u8.5 -118",  ,  ,{8.5: -112.3},{8.5: -117.3}
