,Bookmaker,Sharp Book Price,Sporttrade,Bet365,DraftKings Pick6,FanDuel,DraftKings,BetMGM,Caesars,PointsBet,BetOnline,Bovada,Unibet,Sugarhouse,888sports,BetRivers,SportsBetting,Four Winds,Parx,Over,Under
2/15 8:30 PM Jaren Jackson(F-C) MEM vs. MIL,  ,  ,  ,  ,  ,"o32.5 -102
u32.5 -125","o30.5 -120
u30.5 -110",  ,"o30.5 -119
u30.5 -115",  ,  ,  ,"o31.5 -122
u31.5 -109","o31.5 -122
u31.5 -109",  ,"o31.5 -122
u31.5 -109",  ,"o31.5 -122
u31.5 -109","o31.5 -122
u31.5 -109","{32.5: -102.0, 30.5: -119.5, 31.5: -122.0}","{32.5: -125.0, 30.5: -112.5, 31.5: -109.0}"
2/15 8:30 PM Luke Kennard(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,"o12.5 -120
u12.5 -106",  ,  ,  ,  ,"o12.5 -120
u12.5 -108","o12.5 -120
u12.5 -108","o12.5 -132
u12.5 +100","o12.5 -132
u12.5 +100",  ,"o12.5 -132
u12.5 +100","o12.5 -120
u12.5 -108","o12.5 -132
u12.5 +100","o12.5 -132
u12.5 +100",{12.5: -126.7},{12.5: 7.8}
2/15 8:30 PM Damian Lillard(G) MIL @ MEM,  ,  ,  ,"o34.5 -115
u34.5 -115",  ,"o34.5 -106
u34.5 -120","o34.5 -125
u34.5 -105","o34.5 -111
u34.5 -118","o34.5 -115
u34.5 -119","o34.5 -110
u34.5 -120","o35.5 -114
u35.5 -114","o35.5 -114
u35.5 -114","o33.5 -121
u33.5 -110","o33.5 -121
u33.5 -110","o34.5 -118
u34.5 -125","o33.5 -121
u33.5 -110","o35.5 -114
u35.5 -114","o33.5 -121
u33.5 -110","o33.5 -121
u33.5 -110","{34.5: -114.3, 35.5: -114.0, 33.5: -121.0}","{34.5: -117.4, 35.5: -114.0, 33.5: -110.0}"
2/15 8:30 PM Malik Beasley(G) MIL @ MEM,  ,  ,  ,"o16.5 -120
u16.5 -110",  ,  ,"o16.5 -140
u16.5 +110","o16.5 -125
u16.5 -105","o16.5 -123
u16.5 -111",  ,"o16.5 -135
u16.5 +104","o16.5 -135
u16.5 +104",  ,  ,"o16.5 -133
u16.5 -110",  ,"o16.5 -135
u16.5 +104",  ,  ,{16.5: -130.8},{16.5: -1.8}
2/15 8:30 PM Giannis Antetokounmpo MIL @ MEM,  ,  ,  ,"o49.5 -115
u49.5 -115",  ,  ,"o49.5 -115
u49.5 -115","o49.5 -115
u49.5 -115","o49.5 -109
u49.5 -125","o49.5 -115
u49.5 -115","o49.5 -115
u49.5 -112","o49.5 -115
u49.5 -112","o48.5 -117
u48.5 -114","o48.5 -117
u48.5 -114","o49.5 -120
u49.5 -125","o48.5 -117
u48.5 -114","o49.5 -115
u49.5 -112","o48.5 -117
u48.5 -114","o48.5 -117
u48.5 -114","{49.5: -114.9, 48.5: -117.0}","{49.5: -116.2, 48.5: -114.0}"
2/15 8:30 PM Brook Lopez(C) MIL @ MEM,  ,  ,  ,"o18.5 -115
u18.5 -115",  ,  ,"o18.5 -115
u18.5 -115","o18.5 -115
u18.5 -118","o18.5 -119
u18.5 -115",  ,"o18.5 -111
u18.5 -116","o18.5 -111
u18.5 -116",  ,  ,"o18.5 -120
u18.5 -125",  ,"o18.5 -111
u18.5 -116",  ,  ,{18.5: -114.6},{18.5: -117.0}
2/15 8:30 PM Santi Aldama(F) MEM vs. MIL,  ,  ,  ,  ,  ,"o20.5 -102
u20.5 -125",  ,  ,  ,  ,"o20.5 -103
u20.5 -125","o20.5 -103
u20.5 -125","o19.5 -124
u19.5 -108","o19.5 -124
u19.5 -108",  ,"o19.5 -124
u19.5 -108","o20.5 -103
u20.5 -125","o19.5 -124
u19.5 -108","o19.5 -124
u19.5 -108","{20.5: -102.8, 19.5: -124.0}","{20.5: -125.0, 19.5: -108.0}"
2/15 8:30 PM Vince Williams(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,"o24.5 -102
u24.5 -125","o23.5 -110
u23.5 -120","o23.5 -110
u23.5 -120","o23.5 -119
u23.5 -115",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"{24.5: -102.0, 23.5: -113.0}","{24.5: -125.0, 23.5: -118.3}"
2/15 9:00 PM Klay Thompson(G) GSW @ UTA,  ,  ,  ,"o21.5 -120
u21.5 -110",  ,  ,"o21.5 -125
u21.5 -105","o21.5 -125
u21.5 -105","o21.5 -127
u21.5 -108","o22.5 -105
u22.5 -125","o21.5 -123
u21.5 -105","o21.5 -123
u21.5 -105",  ,  ,"o21.5 -133
u21.5 -110",  ,"o21.5 -123
u21.5 -105",  ,  ,"{21.5: -124.9, 22.5: -105.0}","{21.5: -106.6, 22.5: -125.0}"
2/15 9:00 PM Draymond Green(F) GSW @ UTA,  ,  ,  ,"o23.5 -115
u23.5 -115",  ,"o23.5 -113
u23.5 -113","o23.5 -115
u23.5 -115","o23.5 -115
u23.5 -118","o23.5 -123
u23.5 -111","o23.5 -110
u23.5 -120","o23.5 -112
u23.5 -115","o23.5 -112
u23.5 -115",  ,  ,"o23.5 -120
u23.5 -125",  ,"o23.5 -112
u23.5 -115",  ,  ,{23.5: -114.7},{23.5: -116.2}
