,Bookmaker,Sharp Book Price,Sporttrade,Bet365,DraftKings Pick6,FanDuel,DraftKings,BetMGM,Caesars,PointsBet,BetOnline,Bovada,Unibet,Sugarhouse,888sports,BetRivers,SportsBetting,Four Winds,Parx,Over,Under
2/15 8:30 PM Jaren Jackson(F-C) MEM vs. MIL,  ,  ,  ,  ,  ,"o29.5 -106
u29.5 -120","o27.5 -120
u27.5 -110",  ,"o27.5 -119
u27.5 -115",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"{29.5: -106.0, 27.5: -119.5}","{29.5: -120.0, 27.5: -112.5}"
2/15 8:30 PM Luke Kennard(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,"o12.5 -120
u12.5 -106",  ,  ,  ,  ,"o12.5 -120
u12.5 -108","o12.5 -120
u12.5 -108","o12.5 -132
u12.5 +100","o12.5 -132
u12.5 +100",  ,"o12.5 -132
u12.5 +100","o12.5 -120
u12.5 -108","o12.5 -132
u12.5 +100","o12.5 -132
u12.5 +100",{12.5: -126.7},{12.5: 7.8}
2/15 8:30 PM Damian Lillard(G) MIL @ MEM,  ,  ,  ,"o28.5 -115
u28.5 -115",  ,"o27.5 -120
u27.5 -106","o28.5 -110
u28.5 -120","o28.5 -110
u28.5 -120","o28.5 -109
u28.5 -125","o28.5 -105
u28.5 -125",  ,  ,  ,  ,"o28.5 -118
u28.5 -133",  ,  ,  ,  ,"{28.5: -111.2, 27.5: -120.0}","{28.5: -123.0, 27.5: -106.0}"
2/15 8:30 PM Malik Beasley(G) MIL @ MEM,  ,  ,  ,"o15.5 -115
u15.5 -115",  ,"o15.5 -102
u15.5 -125","o15.5 -120
u15.5 -110","o15.5 -118
u15.5 -111","o15.5 -119
u15.5 -115","o15.5 -115
u15.5 -115",  ,  ,  ,  ,  ,  ,  ,  ,  ,{15.5: -114.8},{15.5: -115.2}
2/15 8:30 PM Giannis Antetokounmpo MIL @ MEM,  ,  ,  ,"o42.5 -115
u42.5 -115",  ,"o41.5 -115
u41.5 -111","o42.5 -115
u42.5 -115","o42.5 -115
u42.5 -115","o42.5 -111
u42.5 -123","o42.5 -115
u42.5 -115",  ,  ,  ,  ,"o42.5 -125
u42.5 -120",  ,  ,  ,  ,"{42.5: -116.0, 41.5: -115.0}","{42.5: -117.2, 41.5: -111.0}"
2/15 8:30 PM Brook Lopez(C) MIL @ MEM,  ,  ,  ,"o16.5 -115
u16.5 -115",  ,"o16.5 -120
u16.5 -108","o16.5 -120
u16.5 -110","o16.5 -118
u16.5 -111","o16.5 -118
u16.5 -118","o16.5 -120
u16.5 -110",  ,  ,  ,  ,  ,  ,  ,  ,  ,{16.5: -118.5},{16.5: -112.0}
2/15 8:30 PM Santi Aldama(F) MEM vs. MIL,  ,  ,  ,  ,  ,"o17.5 +100
u17.5 -128",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{},{}
2/15 8:30 PM Vince Williams(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,"o18.5 -118
u18.5 -108","o18.5 -105
u18.5 -125","o18.5 -105
u18.5 -125","o18.5 -106
u18.5 -128",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{18.5: -108.5},{18.5: -121.5}
2/15 9:00 PM Klay Thompson(G) GSW @ UTA,  ,  ,  ,"o19.5 -115
u19.5 -115",  ,"o20.5 -102
u20.5 -125","o19.5 -120
u19.5 -110","o19.5 -118
u19.5 -111","o19.5 -119
u19.5 -115","o19.5 -120
u19.5 -110",  ,  ,  ,  ,  ,  ,  ,  ,  ,"{19.5: -118.4, 20.5: -102.0}","{19.5: -112.2, 20.5: -125.0}"
2/15 9:00 PM Draymond Green(F) GSW @ UTA,  ,  ,  ,"o16.5 -110
u16.5 -120",  ,"o16.5 +102
u16.5 -130","o16.5 -105
u16.5 -125","o16.5 -105
u16.5 -125","o16.5 -106
u16.5 -128","o16.5 -105
u16.5 -125",  ,  ,  ,  ,  ,  ,  ,  ,  ,{16.5: -106.2},{16.5: -124.6}
2/15 9:00 PM Stephen Curry(G) GSW @ UTA,  ,  ,  ,"o34.5 -110
u34.5 -120",  ,"o33.5 -118
u33.5 -108","o34.5 -110
u34.5 -120","o34.5 -110
u34.5 -125","o34.5 -109
u34.5 -125","o34.5 -115
u34.5 -115",  ,  ,  ,  ,"o34.5 -118
u34.5 -133",  ,  ,  ,  ,"{34.5: -112.0, 33.5: -118.0}","{34.5: -123.0, 33.5: -108.0}"
2/15 9:00 PM Jonathan Kuminga(F) GSW @ UTA,  ,  ,  ,"o25.5 -120
u25.5 -110",  ,"o25.5 -122
u25.5 -104","o25.5 -135
u25.5 +105","o25.5 -120
u25.5 -110","o25.5 -118
u25.5 -118","o26.5 -115
u26.5 -115",  ,  ,  ,  ,"o25.5 -133
u25.5 -118",  ,  ,  ,  ,"{25.5: -124.7, 26.5: -115.0}","{25.5: -75.8, 26.5: -115.0}"
2/15 9:00 PM Jordan Clarkson(G) UTA vs. GSW,  ,  ,  ,  ,  ,"o20.5 -111
u20.5 -115",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{20.5: -111.0},{20.5: -115.0}
2/15 9:00 PM Andrew Wiggins(F) GSW @ UTA,  ,  ,  ,"o16.5 -120
u16.5 -110",  ,"o16.5 -122
u16.5 -104","o16.5 -140
u16.5 +110","o16.5 -125
u16.5 -105","o16.5 -128
u16.5 -106","o17.5 +100
u17.5 -130",  ,  ,  ,  ,  ,  ,  ,  ,  ,{16.5: -127.0},{16.5: -63.0}
2/15 9:00 PM Lauri Markkanen(F-C) UTA vs. GSW,  ,  ,  ,"o30.5 -120
u30.5 -110",  ,"o31.5 -113
u31.5 -113","o30.5 -125
u30.5 -105","o30.5 -125
u30.5 -105","o30.5 -127
u30.5 -108","o31.5 -115
u31.5 -115",  ,  ,  ,  ,"o30.5 -133
u30.5 -111",  ,  ,  ,  ,"{30.5: -126.0, 31.5: -114.0}","{30.5: -107.8, 31.5: -114.0}"
