,Bookmaker,Sharp Book Price,Sporttrade,Bet365,DraftKings Pick6,FanDuel,DraftKings,BetMGM,Caesars,PointsBet,BetOnline,Bovada,Unibet,Sugarhouse,888sports,BetRivers,SportsBetting,Four Winds,Parx,Over,Under
2/15 8:30 PM Jaren Jackson(F-C) MEM vs. MIL,  ,  ,  ,  ,  ,"o8.5 +108
u8.5 -138","o8.5 +110
u8.5 -140",  ,"o8.5 +106
u8.5 -145",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{},{}
2/15 8:30 PM Luke Kennard(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,"o12.5 -120
u12.5 -106",  ,  ,  ,  ,"o12.5 -120
u12.5 -108","o12.5 -120
u12.5 -108","o12.5 -132
u12.5 +100","o12.5 -132
u12.5 +100",  ,"o12.5 -132
u12.5 +100","o12.5 -120
u12.5 -108","o12.5 -132
u12.5 +100","o12.5 -132
u12.5 +100",{12.5: -126.7},{12.5: 7.8}
2/15 8:30 PM Damian Lillard(G) MIL @ MEM,  ,  ,  ,"o9.5 -135
u9.5 +105",  ,"o9.5 -132
u9.5 +104","o9.5 -140
u9.5 +110","o9.5 -143
u9.5 +105","o9.5 -143
u9.5 +104","o9.5 -140
u9.5 +105",  ,  ,  ,  ,"o9.5 -150
u9.5 +100",  ,  ,  ,  ,{9.5: -140.4},{9.5: 104.7}
2/15 8:30 PM Malik Beasley(G) MIL @ MEM,  ,  ,  ,"o4.5 -150
u4.5 +120",  ,  ,  ,"o4.5 -139
u4.5 +105","o4.5 -145
u4.5 +106",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{4.5: -144.7},{4.5: 110.3}
2/15 8:30 PM Giannis Antetokounmpo MIL @ MEM,  ,  ,  ,"o19.5 +100
u19.5 -130",  ,"o18.5 -125
u18.5 -102","o19.5 +100
u19.5 -130","o19.5 +100
u19.5 -133","o19.5 -103
u19.5 -133","o19.5 +100
u19.5 -130",  ,  ,  ,  ,"o19.5 -105
u19.5 -141",  ,  ,  ,  ,"{18.5: -125.0, 19.5: -104.0}","{18.5: -102.0, 19.5: -137.0}"
2/15 8:30 PM Brook Lopez(C) MIL @ MEM,  ,  ,  ,"o7.5 +115
u7.5 -145",  ,  ,"o7.5 +114
u7.5 -145","o7.5 +110
u7.5 -149","o7.5 +110
u7.5 -152",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{},{}
2/15 8:30 PM Santi Aldama(F) MEM vs. MIL,  ,  ,  ,  ,  ,"o8.5 +100
u8.5 -128",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{},{}
2/15 8:30 PM Vince Williams(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,"o11.5 -104
u11.5 -122","o11.5 -105
u11.5 -125","o11.5 -105
u11.5 -128","o11.5 -101
u11.5 -135",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{11.5: -103.8},{11.5: -127.5}
2/15 9:00 PM Klay Thompson(G) GSW @ UTA,  ,  ,  ,"o5.5 -110
u5.5 -120",  ,  ,  ,  ,"o5.5 -108
u5.5 -127","o5.5 -110
u5.5 -120",  ,  ,  ,  ,  ,  ,  ,  ,  ,{5.5: -109.3},{5.5: -122.3}
2/15 9:00 PM Draymond Green(F) GSW @ UTA,  ,  ,  ,"o14.5 -115
u14.5 -115",  ,"o14.5 -132
u14.5 +104","o14.5 -120
u14.5 -110","o14.5 -118
u14.5 -111","o14.5 -123
u14.5 -111","o14.5 -115
u14.5 -115",  ,  ,  ,  ,"o14.5 -125
u14.5 -118",  ,  ,  ,  ,{14.5: -121.1},{14.5: -82.3}
