,Bookmaker,Sharp Book Price,Sporttrade,Bet365,DraftKings Pick6,FanDuel,DraftKings,BetMGM,Caesars,PointsBet,BetOnline,Bovada,Unibet,Sugarhouse,888sports,BetRivers,SportsBetting,Four Winds,Parx,Over,Under
2/15 8:30 PM Jaren Jackson(F-C) MEM vs. MIL,  ,  ,  ,  ,  ,"o5.5 +106
u5.5 -136","o5.5 +105
u5.5 -135",  ,"o5.5 +104
u5.5 -143",  ,  ,  ,"o5.5 +102
u5.5 -136","o5.5 +102
u5.5 -136",  ,"o5.5 +102
u5.5 -136",  ,"o5.5 +102
u5.5 -136","o5.5 +102
u5.5 -136",{},{}
2/15 8:30 PM Luke Kennard(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,"o12.5 -120
u12.5 -106",  ,  ,  ,  ,"o12.5 -120
u12.5 -108","o12.5 -120
u12.5 -108","o12.5 -132
u12.5 +100","o12.5 -132
u12.5 +100",  ,"o12.5 -132
u12.5 +100","o12.5 -120
u12.5 -108","o12.5 -132
u12.5 +100","o12.5 -132
u12.5 +100",{12.5: -126.7},{12.5: 7.8}
2/15 8:30 PM Damian Lillard(G) MIL @ MEM,  ,  ,  ,"o3.5 -130
u3.5 +100",  ,"o3.5 -115
u3.5 -111","o3.5 -135
u3.5 +105","o3.5 -133
u3.5 +100","o3.5 -137
u3.5 +100","o3.5 -130
u3.5 +100","o3.5 -128
u3.5 -101","o3.5 -128
u3.5 -101","o3.5 -121
u3.5 -110","o3.5 -121
u3.5 -110","o3.5 -141
u3.5 -105","o3.5 -121
u3.5 -110","o3.5 -128
u3.5 -101","o3.5 -121
u3.5 -110","o3.5 -121
u3.5 -110",{3.5: -127.3},{3.5: -37.6}
2/15 8:30 PM Malik Beasley(G) MIL @ MEM,  ,  ,  ,"o3.5 -115
u3.5 -115",  ,"o3.5 -104
u3.5 -122","o3.5 -115
u3.5 -115","o3.5 -118
u3.5 -115","o3.5 -123
u3.5 -111","o3.5 -115
u3.5 -115","o3.5 -114
u3.5 -114","o3.5 -114
u3.5 -114","o3.5 -112
u3.5 -120","o3.5 -112
u3.5 -120","o3.5 -125
u3.5 -120","o3.5 -112
u3.5 -120","o3.5 -114
u3.5 -114","o3.5 -112
u3.5 -120","o3.5 -112
u3.5 -120",{3.5: -114.5},{3.5: -117.0}
2/15 8:30 PM Giannis Antetokounmpo MIL @ MEM,  ,  ,  ,"o12.5 +100
u12.5 -130",  ,"o11.5 -138
u11.5 +108","o12.5 +114
u12.5 -145","o12.5 +100
u12.5 -133","o12.5 +102
u12.5 -139","o11.5 -140
u11.5 +105","o12.5 +106
u12.5 -137","o12.5 +106
u12.5 -137","o11.5 -148
u11.5 +110","o11.5 -148
u11.5 +110","o12.5 -105
u12.5 -143","o11.5 -148
u11.5 +110","o12.5 +106
u12.5 -137","o11.5 -148
u11.5 +110","o11.5 -148
u11.5 +110","{11.5: -145.4, 12.5: -105.0}","{11.5: 109.0, 12.5: -143.0}"
2/15 8:30 PM Brook Lopez(C) MIL @ MEM,  ,  ,  ,"o5.5 +105
u5.5 -135",  ,"o5.5 +114
u5.5 -146","o5.5 +105
u5.5 -135","o5.5 +105
u5.5 -139","o5.5 +100
u5.5 -137","o5.5 -105
u5.5 -125","o5.5 +104
u5.5 -135","o5.5 +104
u5.5 -135","o5.5 +108
u5.5 -143","o5.5 +108
u5.5 -143","o5.5 +100
u5.5 -150","o5.5 +108
u5.5 -143","o5.5 +104
u5.5 -135","o5.5 +108
u5.5 -143","o5.5 +108
u5.5 -143",{5.5: -105.0},{5.5: -125.0}
2/15 8:30 PM Santi Aldama(F) MEM vs. MIL,  ,  ,  ,  ,  ,"o5.5 +100
u5.5 -128",  ,  ,  ,  ,"o5.5 -101
u5.5 -128","o5.5 -101
u5.5 -128","o5.5 -105
u5.5 -127","o5.5 -105
u5.5 -127",  ,"o5.5 -105
u5.5 -127","o5.5 -101
u5.5 -128","o5.5 -105
u5.5 -127","o5.5 -105
u5.5 -127",{5.5: -103.5},{5.5: -127.4}
2/15 8:30 PM Vince Williams(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,"o6.5 +114
u6.5 -146","o6.5 +120
u6.5 -150",  ,"o6.5 +112
u6.5 -154",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{},{}
2/15 9:00 PM Klay Thompson(G) GSW @ UTA,  ,  ,  ,"o3.5 +125
u3.5 -155",  ,"o3.5 +124
u3.5 -160","o3.5 +124
u3.5 -160","o3.5 +120
u3.5 -161","o3.5 +116
u3.5 -161","o3.5 +120
u3.5 -160","o3.5 +122
u3.5 -159","o3.5 +122
u3.5 -159",  ,  ,  ,  ,"o3.5 +122
u3.5 -159",  ,  ,{},{}
2/15 9:00 PM Draymond Green(F) GSW @ UTA,  ,  ,  ,"o7.5 -115
u7.5 -115",  ,"o7.5 -111
u7.5 -115","o7.5 -115
u7.5 -115","o7.5 -115
u7.5 -118","o7.5 -119
u7.5 -115","o7.5 -110
u7.5 -120","o7.5 -109
u7.5 -119","o7.5 -109
u7.5 -119",  ,  ,"o7.5 -120
u7.5 -125",  ,"o7.5 -109
u7.5 -119",  ,  ,{7.5: -113.2},{7.5: -118.0}
