,Bookmaker,Sharp Book Price,Sporttrade,Bet365,DraftKings Pick6,FanDuel,DraftKings,BetMGM,Caesars,PointsBet,BetOnline,Bovada,Unibet,Sugarhouse,888sports,BetRivers,SportsBetting,Four Winds,Parx,Over,Under
2/15 8:30 PM Jaren Jackson(F-C) MEM vs. MIL,  ,  ,  ,  ,  ,  ,  ,  ,"o0.5 -222
u0.5 +159",  ,  ,  ,"o0.5 -235
u0.5 +170","o0.5 -235
u0.5 +170",  ,"o0.5 -235
u0.5 +170",  ,"o0.5 -235
u0.5 +170","o0.5 -235
u0.5 +170",{0.5: -232.8},{0.5: 168.2}
2/15 8:30 PM Luke Kennard(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,"o12.5 -120
u12.5 -106",  ,  ,  ,  ,"o12.5 -120
u12.5 -108","o12.5 -120
u12.5 -108","o12.5 -132
u12.5 +100","o12.5 -132
u12.5 +100",  ,"o12.5 -132
u12.5 +100","o12.5 -120
u12.5 -108","o12.5 -132
u12.5 +100","o12.5 -132
u12.5 +100",{12.5: -126.7},{12.5: 7.8}
2/15 8:30 PM Damian Lillard(G) MIL @ MEM,  ,  ,  ,"o1.5 +150
u1.5 -185",  ,  ,  ,"o1.5 +140
u1.5 -189","o1.5 +143
u1.5 -200","o1.5 +140
u1.5 -180",  ,  ,"o1.5 +150
u1.5 -205","o1.5 +150
u1.5 -205","o1.5 +135
u1.5 -200","o1.5 +150
u1.5 -205",  ,"o1.5 +150
u1.5 -205","o1.5 +150
u1.5 -205",{},{}
2/15 8:30 PM Malik Beasley(G) MIL @ MEM,  ,  ,  ,"o0.5 -190
u0.5 +155",  ,  ,  ,"o0.5 -189
u0.5 +145","o0.5 -204
u0.5 +146","o0.5 -180
u0.5 +140",  ,  ,  ,  ,  ,  ,  ,  ,  ,{0.5: -190.8},{0.5: 146.5}
2/15 8:30 PM Giannis Antetokounmpo MIL @ MEM,  ,  ,  ,"o1.5 +110
u1.5 -140",  ,  ,  ,"o1.5 +110
u1.5 -143","o1.5 +112
u1.5 -154","o1.5 +105
u1.5 -140",  ,  ,"o1.5 +108
u1.5 -143","o1.5 +108
u1.5 -143","o1.5 +100
u1.5 -152","o1.5 +108
u1.5 -143",  ,"o1.5 +108
u1.5 -143","o1.5 +108
u1.5 -143",{},{}
2/15 8:30 PM Brook Lopez(C) MIL @ MEM,  ,  ,  ,"o0.5 -150
u0.5 +120",  ,  ,  ,"o0.5 -154
u0.5 +115","o0.5 -152
u0.5 +110","o0.5 -165
u0.5 +125",  ,  ,  ,  ,  ,  ,  ,  ,  ,{0.5: -155.2},{0.5: 117.5}
2/15 8:30 PM Santi Aldama(F) MEM vs. MIL,  ,  ,  ,  ,  ,"o8.5 +100
u8.5 -128",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{},{}
2/15 8:30 PM Vince Williams(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,  ,  ,"o0.5 -227
u0.5 +170","o0.5 -233
u0.5 +165",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{0.5: -230.0},{0.5: 167.5}
2/15 9:00 PM Klay Thompson(G) GSW @ UTA,  ,  ,  ,"o0.5 -165
u0.5 +135",  ,  ,  ,"o0.5 -167
u0.5 +125","o0.5 -169
u0.5 +123","o0.5 -165
u0.5 +125",  ,  ,"o0.5 -177
u0.5 +132","o0.5 -177
u0.5 +132",  ,"o0.5 -177
u0.5 +132",  ,"o0.5 -177
u0.5 +132","o0.5 -177
u0.5 +132",{0.5: -172.3},{0.5: 129.8}
2/15 9:00 PM Draymond Green(F) GSW @ UTA,  ,  ,  ,"o0.5 -185
u0.5 +150",  ,"o0.5 -186
u0.5 +144",  ,"o0.5 -189
u0.5 +140","o0.5 -189
u0.5 +136","o0.5 -180
u0.5 +140",  ,  ,"o0.5 -190
u0.5 +140","o0.5 -190
u0.5 +140",  ,"o0.5 -190
u0.5 +140",  ,"o0.5 -190
u0.5 +140","o0.5 -190
u0.5 +140",{0.5: -187.9},{0.5: 141.0}
2/15 9:00 PM Stephen Curry(G) GSW @ UTA,  ,  ,  ,"o1.5 +190
u1.5 -240",  ,"o0.5 -250
u0.5 +190",  ,"o1.5 +180
u1.5 -250","o1.5 +172
u1.5 -244","o1.5 +165
u1.5 -225",  ,  ,"o1.5 +175
u1.5 -245","o1.5 +175
u1.5 -245","o1.5 +170
u1.5 -275","o1.5 +175
u1.5 -245",  ,"o1.5 +175
u1.5 -245","o1.5 +175
u1.5 -245",{0.5: -250.0},{0.5: 190.0}
2/15 9:00 PM Jonathan Kuminga(F) GSW @ UTA,  ,  ,  ,"o0.5 -210
u0.5 +165",  ,"o0.5 -215
u0.5 +164",  ,"o0.5 -222
u0.5 +160","o0.5 -213
u0.5 +152","o0.5 -200
u0.5 +150",  ,  ,"o0.5 -215
u0.5 +160","o0.5 -215
u0.5 +160","o0.5 -250
u0.5 +150","o0.5 -215
u0.5 +160",  ,"o0.5 -215
u0.5 +160","o0.5 -215
u0.5 +160",{0.5: -216.8},{0.5: 158.3}
2/15 9:00 PM Jordan Clarkson(G) UTA vs. GSW,  ,  ,  ,  ,  ,"o7.5 -104
u7.5 -122",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{7.5: -104.0},{7.5: -122.0}
2/15 9:00 PM Andrew Wiggins(F) GSW @ UTA,  ,  ,  ,"o0.5 -180
u0.5 +145",  ,  ,  ,"o0.5 -182
u0.5 +135","o0.5 -185
u0.5 +133","o0.5 -175
u0.5 +135",  ,  ,"o0.5 -195
u0.5 +143","o0.5 -195
u0.5 +143",  ,"o0.5 -195
u0.5 +143",  ,"o0.5 -195
u0.5 +143","o0.5 -195
u0.5 +143",{0.5: -188.6},{0.5: 140.3}
2/15 9:00 PM Lauri Markkanen(F-C) UTA vs. GSW,  ,  ,  ,"o0.5 -200
u0.5 +160",  ,"o0.5 -188
u0.5 +146",  ,"o0.5 -200
u0.5 +150","o0.5 -189
u0.5 +136","o0.5 -190
u0.5 +145",  ,  ,"o0.5 -205
u0.5 +150","o0.5 -205
u0.5 +150","o0.5 -222
u0.5 +140","o0.5 -205
u0.5 +150",  ,"o0.5 -205
u0.5 +150","o0.5 -205
u0.5 +150",{0.5: -201.3},{0.5: 147.9}
2/15 9:00 PM John Collins(F-C) UTA vs. GSW,  ,  ,  ,"o0.5 -145
u0.5 +115",  ,"o0.5 -154
u0.5 +120",  ,"o0.5 -154
u0.5 +115","o0.5 -154
u0.5 +112","o0.5 -160
u0.5 +120",  ,  ,"o0.5 -152
u0.5 +115","o0.5 -152
u0.5 +115",  ,"o0.5 -152
u0.5 +115",  ,"o0.5 -152
u0.5 +115","o0.5 -152
u0.5 +115",{0.5: -152.7},{0.5: 115.7}
2/15 9:00 PM Collin Sexton(G) UTA vs. GSW,  ,  ,  ,"o0.5 -150
u0.5 +120",  ,"o0.5 -154
u0.5 +120",  ,"o0.5 -154
u0.5 +115","o0.5 -152
u0.5 +110","o0.5 -150
u0.5 +115",  ,  ,"o0.5 -157
u0.5 +117","o0.5 -157
u0.5 +117",  ,"o0.5 -157
u0.5 +117",  ,"o0.5 -157
u0.5 +117","o0.5 -157
u0.5 +117",{0.5: -154.5},{0.5: 116.5}
2/15 9:00 PM Keyonte George(G) UTA vs. GSW,  ,  ,  ,"o0.5 -155
u0.5 +125",  ,  ,  ,"o0.5 -161
u0.5 +120","o0.5 -156
u0.5 +114","o0.5 -150
u0.5 +115",  ,  ,  ,  ,"o0.5 -167
u0.5 +110",  ,  ,  ,  ,{0.5: -157.8},{0.5: 116.8}
2/15 10:00 PM Jaden McDaniels(F) MIN @ POR,  ,  ,  ,"o0.5 -170
u0.5 +140",  ,  ,  ,"o0.5 -175
u0.5 +130","o0.5 -175
u0.5 +126",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{0.5: -173.3},{0.5: 132.0}
2/15 10:00 PM Anthony Edwards(G) MIN @ POR,  ,  ,  ,"o1.5 +160
u1.5 -200",  ,  ,  ,"o1.5 +150
u1.5 -208","o1.5 +146
u1.5 -204",  ,  ,  ,"o1.5 +150
u1.5 -205","o1.5 +150
u1.5 -205","o1.5 +145
u1.5 -222","o1.5 +150
u1.5 -205",  ,"o1.5 +150
u1.5 -205","o1.5 +150
u1.5 -205",{},{}
2/15 10:00 PM Karl-Anthony Towns MIN @ POR,  ,  ,  ,"o0.5 -140
u0.5 +110",  ,  ,  ,"o0.5 -143
u0.5 +110","o0.5 -137
u0.5 +100",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{0.5: -140.0},{0.5: 106.7}
2/15 10:00 PM Mike Conley(G) MIN @ POR,  ,  ,  ,"o0.5 -190
u0.5 +155",  ,  ,  ,  ,"o0.5 -189
u0.5 +136",  ,  ,  ,  ,  ,"o0.5 -213
u0.5 +138",  ,  ,  ,  ,{0.5: -197.3},{0.5: 143.0}
2/15 10:00 PM Anfernee Simons(G) POR vs. MIN,  ,  ,  ,  ,  ,  ,  ,"o0.5 -133
u0.5 +100","o0.5 -139
u0.5 +102",  ,  ,  ,"o0.5 -136
u0.5 +102","o0.5 -136
u0.5 +102",  ,"o0.5 -136
u0.5 +102",  ,"o0.5 -136
u0.5 +102","o0.5 -136
u0.5 +102",{0.5: -136.0},{0.5: 101.7}
2/15 10:00 PM Jerami Grant(F) POR vs. MIN,  ,  ,  ,  ,  ,  ,  ,"o0.5 -133
u0.5 +100","o0.5 -137
u0.5 +100",  ,  ,  ,"o0.5 -124
u0.5 -107","o0.5 -124
u0.5 -107","o0.5 -141
u0.5 -105","o0.5 -124
u0.5 -107",  ,"o0.5 -124
u0.5 -107","o0.5 -124
u0.5 -107",{0.5: -128.9},{0.5: -55.0}
2/15 9:00 PM Jabari Walker(F) POR @ GSW,  ,  ,  ,  ,  ,  ,  ,  ,"o0.5 -133
u0.5 -103",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{0.5: -133.0},{0.5: -103.0}
2/15 9:00 PM Walker Kessler(C) UTA vs. GSW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{},{}
2/15 10:00 PM Rudy Gobert(C) MIN @ POR,  ,  ,  ,"o0.5 -150
u0.5 +120",  ,  ,  ,"o0.5 -154
u0.5 +120","o0.5 -154
u0.5 +112",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{0.5: -152.7},{0.5: 117.3}
2/15 10:00 PM Deandre Ayton(C) POR vs. MIN,  ,  ,  ,  ,  ,  ,  ,"o0.5 -139
u0.5 +105","o0.5 -139
u0.5 +102",  ,  ,  ,"o0.5 -134
u0.5 +100","o0.5 -134
u0.5 +100","o0.5 -143
u0.5 -105","o0.5 -134
u0.5 +100",  ,"o0.5 -134
u0.5 +100","o0.5 -134
u0.5 +100",{0.5: -136.4},{0.5: 75.2}
