,Bookmaker,Sharp Book Price,Sporttrade,Bet365,DraftKings Pick6,FanDuel,DraftKings,BetMGM,Caesars,PointsBet,BetOnline,Bovada,Unibet,Sugarhouse,888sports,BetRivers,SportsBetting,Four Winds,Parx,Over,Under
2/15 8:30 PM Jaren Jackson(F-C) MEM vs. MIL,  ,  ,  ,  ,  ,  ,  ,  ,"o1.5 -189
u1.5 +136",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{1.5: -189.0},{1.5: 136.0}
2/15 8:30 PM Luke Kennard(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,"o12.5 -120
u12.5 -106",  ,  ,  ,  ,"o12.5 -120
u12.5 -108","o12.5 -120
u12.5 -108","o12.5 -132
u12.5 +100","o12.5 -132
u12.5 +100",  ,"o12.5 -132
u12.5 +100","o12.5 -120
u12.5 -108","o12.5 -132
u12.5 +100","o12.5 -132
u12.5 +100",{12.5: -126.7},{12.5: 7.8}
2/15 8:30 PM Damian Lillard(G) MIL @ MEM,  ,  ,  ,"o1.5 -110
u1.5 -120",  ,  ,  ,"o1.5 -110
u1.5 -120","o1.5 -111
u1.5 -123",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{1.5: -110.3},{1.5: -121.0}
2/15 8:30 PM Malik Beasley(G) MIL @ MEM,  ,  ,  ,"o1.5 +170
u1.5 -220",  ,  ,  ,"o1.5 +165
u1.5 -222","o1.5 +159
u1.5 -222",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{},{}
2/15 8:30 PM Giannis Antetokounmpo MIL @ MEM,  ,  ,  ,"o2.5 -115
u2.5 -115",  ,  ,  ,"o2.5 -111
u2.5 -120","o2.5 -114
u2.5 -120",  ,  ,  ,  ,  ,"o2.5 -118
u2.5 -125",  ,  ,  ,  ,{2.5: -114.5},{2.5: -120.0}
2/15 8:30 PM Brook Lopez(C) MIL @ MEM,  ,  ,  ,"o2.5 -150
u2.5 +120",  ,  ,  ,"o2.5 -154
u2.5 +115","o2.5 -147
u2.5 +108",  ,  ,  ,  ,  ,"o2.5 -163
u2.5 +110",  ,  ,  ,  ,{2.5: -153.5},{2.5: 113.2}
2/15 8:30 PM Santi Aldama(F) MEM vs. MIL,  ,  ,  ,  ,  ,"o8.5 +100
u8.5 -128",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{},{}
2/15 8:30 PM Vince Williams(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,  ,  ,  ,"o1.5 +110
u1.5 -152",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{},{}
2/15 9:00 PM Klay Thompson(G) GSW @ UTA,  ,  ,  ,"o1.5 -105
u1.5 -125",  ,  ,  ,"o1.5 -105
u1.5 -128","o1.5 -106
u1.5 -128",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{1.5: -105.3},{1.5: -127.0}
2/15 9:00 PM Draymond Green(F) GSW @ UTA,  ,  ,  ,"o2.5 +135
u2.5 -165",  ,  ,  ,"o2.5 +125
u2.5 -167","o2.5 +126
u2.5 -175",  ,  ,  ,  ,  ,"o2.5 +120
u2.5 -188",  ,  ,  ,  ,{},{}
