,Bookmaker,Sharp Book Price,Sporttrade,Bet365,DraftKings Pick6,FanDuel,DraftKings,BetMGM,Caesars,PointsBet,BetOnline,Bovada,Unibet,Sugarhouse,888sports,BetRivers,SportsBetting,Four Winds,Parx,Over,Under
2/15 8:30 PM Jaren Jackson(F-C) MEM vs. MIL,  ,  ,  ,  ,  ,  ,  ,  ,"o3.5 +123
u3.5 -169",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{},{}
2/15 8:30 PM Luke Kennard(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,"o12.5 -120
u12.5 -106",  ,  ,  ,  ,"o12.5 -120
u12.5 -108","o12.5 -120
u12.5 -108","o12.5 -132
u12.5 +100","o12.5 -132
u12.5 +100",  ,"o12.5 -132
u12.5 +100","o12.5 -120
u12.5 -108","o12.5 -132
u12.5 +100","o12.5 -132
u12.5 +100",{12.5: -126.7},{12.5: 7.8}
2/15 8:30 PM Damian Lillard(G) MIL @ MEM,  ,  ,  ,"o2.5 -120
u2.5 -110",  ,  ,  ,"o2.5 -125
u2.5 -105","o2.5 -127
u2.5 -108","o2.5 -120
u2.5 -110",  ,  ,  ,  ,"o2.5 -133
u2.5 -111",  ,  ,  ,  ,{2.5: -125.0},{2.5: -108.8}
2/15 8:30 PM Malik Beasley(G) MIL @ MEM,  ,  ,  ,"o0.5 -165
u0.5 +135",  ,  ,  ,"o0.5 -167
u0.5 +125","o0.5 -175
u0.5 +126","o0.5 -170
u0.5 +130",  ,  ,  ,  ,  ,  ,  ,  ,  ,{0.5: -169.2},{0.5: 129.0}
2/15 8:30 PM Giannis Antetokounmpo MIL @ MEM,  ,  ,  ,"o3.5 -105
u3.5 -125",  ,  ,  ,"o3.5 -105
u3.5 -128","o3.5 -104
u3.5 -132","o3.5 -105
u3.5 -125",  ,  ,  ,  ,"o3.5 -110
u3.5 -137",  ,  ,  ,  ,{3.5: -105.8},{3.5: -129.4}
2/15 8:30 PM Brook Lopez(C) MIL @ MEM,  ,  ,  ,"o0.5 -240
u0.5 +190",  ,  ,  ,"o0.5 -238
u0.5 +175","o0.5 -244
u0.5 +172","o0.5 -225
u0.5 +165",  ,  ,  ,  ,  ,  ,  ,  ,  ,{0.5: -236.8},{0.5: 175.5}
2/15 8:30 PM Santi Aldama(F) MEM vs. MIL,  ,  ,  ,  ,  ,"o8.5 +100
u8.5 -128",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{},{}
2/15 8:30 PM Vince Williams(G-F) MEM vs. MIL,  ,  ,  ,  ,  ,  ,  ,"o2.5 +125
u2.5 -167","o2.5 +129
u2.5 -179",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,{},{}
2/15 9:00 PM Klay Thompson(G) GSW @ UTA,  ,  ,  ,"o1.5 +170
u1.5 -220",  ,  ,  ,"o1.5 +165
u1.5 -222","o1.5 +159
u1.5 -222","o1.5 +150
u1.5 -200",  ,  ,  ,  ,  ,  ,  ,  ,  ,{},{}
2/15 9:00 PM Draymond Green(F) GSW @ UTA,  ,  ,  ,"o2.5 +135
u2.5 -165",  ,  ,  ,"o2.5 +125
u2.5 -167","o2.5 +123
u2.5 -169","o2.5 +130
u2.5 -170",  ,  ,  ,  ,"o2.5 +120
u2.5 -188",  ,  ,  ,  ,{},{}
