,Over,Under
"Luguentz Dort(G)
OKC
@
ORL",{9.5: -121.0},{9.5: -108.4}
"Josh Giddey(G)
OKC
@
ORL",{10.5: -103.6},{10.5: -129.8}
"Paolo Banchero(F)
ORL
vs.
OKC",{22.5: -113.2},{22.5: -117.8}
"Markelle Fultz(G)
ORL
vs.
OKC",{7.5: -140.0},{7.5: 105.0}
"Shai Gilgeous-Alexander
OKC
@
ORL",{31.5: -114.0},{31.5: -116.5}
"Jalen Suggs(G)
ORL
vs.
OKC",{10.5: -126.4},{10.5: -68.7}
"Franz Wagner(F)
ORL
vs.
OKC","{21.5: -122.7, 22.5: -107.0}","{21.5: -86.4, 22.5: -121.0}"
"Wendell Carter(C)
ORL
vs.
OKC",{10.5: -132.7},{10.5: -33.0}
"Jalen Williams(G-F)
OKC
@
ORL",{18.5: -119.6},{18.5: -111.7}
"Chet Holmgren(C-F)
OKC
@
ORL","{15.5: -104.5, 14.5: -145.0}","{15.5: -127.8, 14.5: 115.0}"
"Jrue Holiday(G)
BOS
@
BKN",{13.5: -105.7},{13.5: -124.1}
"Derrick White(G)
BOS
@
BKN","{14.5: -127.9, 15.5: -110.0}","{14.5: -83.6, 15.5: -120.0}"
"Dorian Finney-Smith
BKN
vs.
BOS",{6.5: -126.2},{6.5: -84.7}
"Mikal Bridges(F)
BKN
vs.
BOS",{22.5: -117.5},{22.5: -112.7}
"Jayson Tatum(F-G)
BOS
@
BKN","{29.5: -107.2, 28.5: -120.0}","{29.5: -125.8, 28.5: -106.0}"
"Ben Simmons(G-F)
BKN
vs.
BOS",{5.5: -138.0},{5.5: 106.3}
"Cam Thomas(G)
BKN
vs.
BOS","{22.5: -127.2, 23.5: -106.0}","{22.5: -106.6, 23.5: -120.0}"
"Kristaps Porzingis(F-C)
BOS
@
BKN",{19.5: -123.9},{19.5: -107.3}
"Jaylen Brown(G-F)
BOS
@
BKN","{20.5: -130.7, 21.5: -114.2}","{20.5: -17.3, 21.5: -114.2}"
"Nic Claxton(C)
BKN
vs.
BOS",{12.5: -104.0},{12.5: -132.0}
"Bojan Bogdanovic(G-F)
@
MIA",{},{}
"Jae Crowder(F)
MIL
vs.
MIA",{7.5: -119.0},{7.5: -111.8}
"Damian Lillard(G)
MIL
vs.
MIA","{24.5: -120.3, 25.5: -115.0}","{24.5: -88.7, 25.5: -115.0}"
"Bam Adebayo(C-F)
MIA
@
MIL",{23.5: -120.1},{23.5: -111.2}
"Malik Beasley(G)
MIL
vs.
MIA",{11.5: -111.8},{11.5: -119.0}
"Tyler Herro(G)
MIA
@
MIL","{23.5: -129.0, 24.5: -103.6}","{23.5: -67.2, 24.5: -125.2}"
"Giannis Antetokounmpo
MIL
vs.
MIA",{29.5: -117.4},{29.5: -113.5}
"Caleb Martin(F)
MIA
@
MIL",{12.5: -123.4},{12.5: -108.8}
"Brook Lopez(C)
MIL
vs.
MIA",{11.5: -112.7},{11.5: -118.5}
"Jaime Jaquez(F-G)
MIA
@
MIL",{13.5: -106.8},{13.5: -122.8}
"Harrison Barnes(F)
SAC
@
PHX",{12.5: -124.5},{12.5: -106.3}
"De'Aaron Fox(G)
SAC
@
PHX","{23.5: -125.9, 24.5: -106.5}","{23.5: -50.1, 24.5: -121.2}"
"Kevin Durant(F)
PHX
vs.
SAC",{26.5: -113.9},{26.5: -117.3}
"Keegan Murray(F)
SAC
@
PHX",{13.5: -115.3},{13.5: -115.2}
"Jusuf Nurkic(C)
PHX
vs.
SAC",{11.5: -129.5},{11.5: -11.2}
"Bradley Beal(G)
PHX
vs.
SAC",{19.5: -111.6},{19.5: -117.6}
"Malik Monk(G)
SAC
@
PHX","{16.5: -104.0, 15.5: -119.0}","{16.5: -122.0, 15.5: -109.0}"
"Devin Booker(G)
PHX
vs.
SAC",{29.5: -113.0},{29.5: -117.9}
"Grayson Allen(G)
PHX
vs.
SAC",{10.5: -120.1},{10.5: -109.4}
"Kevin Huerter(G-F)
SAC
@
PHX",{10.5: -112.0},{10.5: -119.0}
"Domantas Sabonis(C)
SAC
@
PHX",{19.5: -118.5},{19.5: -112.2}
"Rudy Gobert(C)
MIN
@
POR","{14.5: -104.5, 13.5: -128.0}","{14.5: -130.0, 13.5: 100.0}"
"Anthony Edwards(G)
MIN
@
POR",{25.5: -117.6},{25.5: -114.6}
"Karl-Anthony Towns
MIN
@
POR",{22.5: -110.4},{22.5: -122.6}
"Mike Conley(G)
MIN
@
POR",{9.5: -107.5},{9.5: -124.7}
"Anfernee Simons(G)
POR
vs.
MIN",{21.5: -123.8},{21.5: -107.2}
"Deandre Ayton(C)
POR
vs.
MIN",{13.5: -111.2},{13.5: -119.5}
"Jerami Grant(F)
POR
vs.
MIN","{21.5: -121.3, 22.5: -105.0}","{21.5: -43.3, 22.5: -125.0}"
"Austin Reaves(G)
LAL
vs.
DET",{16.5: -118.1},{16.5: -88.0}
"D'Angelo Russell(G)
LAL
vs.
DET",{19.5: -111.9},{19.5: -118.7}
"LeBron James(F)
LAL
vs.
DET",{24.5: -115.0},{24.5: -116.2}
"Jalen Duren(C)
DET
@
LAL",{14.5: -120.2},{14.5: -110.2}
"Anthony Davis(F-C)
LAL
vs.
DET",{24.5: -118.3},{24.5: -113.7}
"Jaden Ivey(G)
DET
@
LAL","{21.5: -118.6, 22.5: -125.0}","{21.5: -112.2, 22.5: -105.0}"
"Cole Anthony(G)
ORL
@
DET",{},{}
"Cade Cunningham(G)
DET
@
LAL",{21.5: -113.3},{21.5: -117.7}
"Ausar Thompson(G-F)
DET
@
LAL",{},{}
